top1,top2,top3,top4,top5,top6,top7,top8
plant,white-collar worker,font,smile,sky,table,photography,food
tree,event,text,forehead,tree,furniture,event,vehicle
footwear,businessperson,line,chin,cloud,room,fun,cuisine
jacket,suit,advertising,face,natural landscape,interior design,people,dish
sky,architecture,brand,head,plant,event,smile,car
vehicle,building,screenshot,hair,grass,building,team,ingredient
flower,job,poster,nose,water,design,tourism,drink
recreation,city,photo caption,eyebrow,natural environment,job,vacation,meal
jeans,spokesperson,graphics,facial expression,nature,conversation,community,motor vehicle
outerwear,official,illustration,eyewear,leaf,architecture,technology,transport
street fashion,formal wear,logo,glasses,grassland,technology,selfie,holiday
window,public speaking,paper,hairstyle,horizon,flooring,leisure,boat
shoe,sky,electric blue,sleeve,sea,desk,crowd,event
wheel,speech,circle,human,carnivore,chair,electronic device,watercraft
sleeve,business,magenta,happy,dog,sitting,art,brunch
asphalt,tourism,document,outerwear,branch,floor,human,christmas decoration
tire,employment,graphic design,lip,dog breed,electronic device,sky,lunch
leisure,management,rectangle,collar,ocean,employment,child,mode of transport
leg,house,number,facial hair,waterway,lighting,performance,tableware
trousers,landmark,parallel,blazer,landscape,wood,display device,recipe
